IDIndikator;skrIndikator;IDCOICOP;nCOICOP;IDTer;nTer;God+Mes;nVrTacka;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200907;2009/jul;130.0;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200908;2009/avgust;129.9;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200909;2009/septembar;130.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200910;2009/oktobar;130.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200911;2009/novembar;131.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;200912;2009/decembar;130.8;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201001;2010/januar;131.4;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201002;2010/februar;131.8;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201003;2010/mart;133.4;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201004;2010/april;134.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201005;2010/maj;136.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201006;2010/jun;136.7;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201007;2010/jul;136.6;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201008;2010/avgust;138.5;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
